IATA,ICAO,NAME
A2,CIU,[Cielos Airlines](https://airlinecodes.info/A2)
A3,AEE,[Aegean Airlines](https://airlinecodes.info/A3)
A4,SWD,[Southern Winds Airlines](https://airlinecodes.info/A4)
A5,HOP,[Air France Hop](https://airlinecodes.info/A5)
A6,LPV,[Air Alps Aviation](https://airlinecodes.info/A6)
A7,MPD,[Air Plus Comet](https://airlinecodes.info/A7)
A8,AMF,[Ameriflight](https://airlinecodes.info/A8)
A9,TGZ,[Georgian Airways](https://airlinecodes.info/A9)
AA,AAL,[American Airlines](https://airlinecodes.info/AA)
AB,BER,[Air Berlin](https://airlinecodes.info/AB)
AC,ACA,[Air Canada](https://airlinecodes.info/AC)
AD,AZU,[Azul Linhas Aéreas Brasileiras](https://airlinecodes.info/AD)
AE,MDA,[Mandarin Airlines](https://airlinecodes.info/AE)
AF,AFR,[Air France](https://airlinecodes.info/AF)
AG,ABR,[ASL Airlines Ireland](https://airlinecodes.info/AG)
AH,DAH,[Air Algérie](https://airlinecodes.info/AH)
AI,AIC,[Air India](https://airlinecodes.info/AI)
AJ,NIG,[Aero Contractors](https://airlinecodes.info/AJ)
AK,AXM,[AirAsia](https://airlinecodes.info/AK)
AL,TXC,[Transaviaexport](https://airlinecodes.info/AL)
AL,SYX,[Skywalk Airlines](https://airlinecodes.info/AL)
AM,AMX,[Aeroméxico](https://airlinecodes.info/AM)
AN,WSN,[Advanced Air](https://airlinecodes.info/AN)
AO,AUZ,[Australian Airlines](https://airlinecodes.info/AO)
AP,ADH,[Air One](https://airlinecodes.info/AP)
AP,AIB,[Airbus Industrie](https://airlinecodes.info/AP)
AR,ARG,[Aerolíneas Argentinas](https://airlinecodes.info/AR)
AS,ASA,[Alaska Airlines](https://airlinecodes.info/AS)
AT,RAM,[Royal Air Maroc](https://airlinecodes.info/AT)
AU,AUT,[Austral Lineas Aereas](https://airlinecodes.info/AU)
AV,AVA,[Avianca](https://airlinecodes.info/AV)
AW,SCH,[CHC Airways](https://airlinecodes.info/AW)
AW,DIR,[Dirgantara Air Service](https://airlinecodes.info/AW)
AX,LOF,[Trans States Airlines](https://airlinecodes.info/AX)
AY,FIN,[Finnair](https://airlinecodes.info/AY)
AZ,ITY,[ITA Airways](https://airlinecodes.info/AZ)
B2,BRU,[Belavia Belarusian Airlines](https://airlinecodes.info/B2)
B3,BLV,[Bellview Airlines](https://airlinecodes.info/B3)
B4,GSM,[Flyglobespan](https://airlinecodes.info/B4)
B4,BCF,[BACH Flugbetriebsges](https://airlinecodes.info/B4)
B4,BKA,[Bankair](https://airlinecodes.info/B4)
B5,EXZ,[East African Safari Air Express](https://airlinecodes.info/B5)
B6,JBU,[JetBlue](https://airlinecodes.info/B6)
B7,UIA,[Uni Airways](https://airlinecodes.info/B7)
B8,ERT,[Eritrean Airlines](https://airlinecodes.info/B8)
B9,BGD,[Air Bangladesh](https://airlinecodes.info/B9)
BA,BAW,[British Airways](https://airlinecodes.info/BA)
BB,SBS,[Seaborne Airlines](https://airlinecodes.info/BB)
BC,SKY,[Skymark Airlines](https://airlinecodes.info/BC)
BE,BEE,[Flybe](https://airlinecodes.info/BE)
BF,RSR,[Aero-Service](https://airlinecodes.info/BF)
BF,BBD,[Bluebird Cargo](https://airlinecodes.info/BF)
BG,BBC,[Biman Bangladesh Airlines](https://airlinecodes.info/BG)
BI,RBA,[Royal Brunei Airlines](https://airlinecodes.info/BI)
BJ,LBT,[Nouvel Air Tunisie](https://airlinecodes.info/BJ)
BK,PDC,[Potomac Air](https://airlinecodes.info/BK)
BL,PIC,[Jetstar Pacific](https://airlinecodes.info/BL)
BM,BMR,[bmi regional](https://airlinecodes.info/BM)
BN,HZA,[Horizon Airlines](https://airlinecodes.info/BN)
BN,BNF,[Braniff International Airways](https://airlinecodes.info/BN)
BO,BOU,[Bouraq Indonesia Airlines](https://airlinecodes.info/BO)
BP,BOT,[Air Botswana](https://airlinecodes.info/BP)
BQ,BKV,[Bukovyna Airlines](https://airlinecodes.info/BQ)
BR,EVA,[EVA Air](https://airlinecodes.info/BR)
BS,BIH,[British International Helicopters](https://airlinecodes.info/BS)
BT,BTI,[airBaltic](https://airlinecodes.info/BT)
BU,CNO,[SAS Braathens](https://airlinecodes.info/BU)
BV,BPA,[Blue Panorama Airlines](https://airlinecodes.info/BV)
BW,BWA,[Caribbean Airlines](https://airlinecodes.info/BW)
BX,ABL,[Air Busan](https://airlinecodes.info/BX)
BY,TOM,[TUI Airways](https://airlinecodes.info/BY)
BZ,BDA,[Blue Dart Aviation](https://airlinecodes.info/BZ)
BZ,KEE,[Keystone Air Services](https://airlinecodes.info/BZ)
C0,CLW,[Centralwings](https://airlinecodes.info/C0)
C4,IMX,[Zimex Aviation](https://airlinecodes.info/C4)
C5,UCA,[CommutAir](https://airlinecodes.info/C5)
C6,CJA,[CanJet](https://airlinecodes.info/C6)
C7,RLE,[Rico Linhas Aéreas](https://airlinecodes.info/C7)
C9,RUS,[Cirrus Airlines](https://airlinecodes.info/C9)
CA,CCA,[Air China](https://airlinecodes.info/CA)
CC,ABD,[Air Atlanta Icelandic](https://airlinecodes.info/CC)
CE,NTW,[Nationwide Airlines](https://airlinecodes.info/CE)
CF,CYZ,[China Postal Airlines](https://airlinecodes.info/CF)
CG,TOK,[Airlines PNG](https://airlinecodes.info/CG)
CH,BMJ,[Bemidji Airlines](https://airlinecodes.info/CH)
CI,CAL,[China Airlines](https://airlinecodes.info/CI)
CJ,CBF,[China Northern Airlines](https://airlinecodes.info/CJ)
CJ,CFE,[Cityflyer Express](https://airlinecodes.info/CJ)
CK,CKK,[China Cargo Airlines](https://airlinecodes.info/CK)
CL,CLH,[Lufthansa CityLine](https://airlinecodes.info/CL)
CM,CMP,[Copa Airlines](https://airlinecodes.info/CM)
CN,GDC,[Grand China Air](https://airlinecodes.info/CN)
CO,COA,[Continental Airlines](https://airlinecodes.info/CO)
CP,CPZ,[Compass Airlines](https://airlinecodes.info/CP)
CQ,EXL,[Sunshine Express Airlines](https://airlinecodes.info/CQ)
CS,CMI,[Continental Micronesia](https://airlinecodes.info/CS)
CT,CYL,[Alitalia CityLiner](https://airlinecodes.info/CT)
CU,CUB,[Cubana de Aviación](https://airlinecodes.info/CU)
CV,CLX,[Cargolux](https://airlinecodes.info/CV)
CW,CWM,[Air Marshall Islands](https://airlinecodes.info/CW)
CX,CPA,[Cathay Pacific](https://airlinecodes.info/CX)
CY,CYP,[Cyprus Airways](https://airlinecodes.info/CY)
CZ,CSN,[China Southern Airlines](https://airlinecodes.info/CZ)
D3,DAO,[Daallo Airlines](https://airlinecodes.info/D3)
D4,LID,[Alidaunia](https://airlinecodes.info/D4)
D5,DAU,[Dauair](https://airlinecodes.info/D5)
D6,ILN,[Interair South Africa](https://airlinecodes.info/D6)
D7,XFA,[FlyAsianXpress](https://airlinecodes.info/D7)
D7,RDN,[Dinar](https://airlinecodes.info/D7)
D8,IBK,[Norwegian Air International](https://airlinecodes.info/D8)
D9,DNV,[Aeroflot-Don](https://airlinecodes.info/D9)
DA,GRG,[Air Georgia](https://airlinecodes.info/DA)
DB,BZH,[Brit Air](https://airlinecodes.info/DB)
DC,GAO,[Golden Air](https://airlinecodes.info/DC)
DD,NOK,[Nok Air](https://airlinecodes.info/DD)
DE,CFG,[condor](https://airlinecodes.info/DE)
DG,SRQ,[Tigerair Philippines](https://airlinecodes.info/DG)
DH,NAN,[Norwegian Air Norway](https://airlinecodes.info/DH)
DI,BAG,[dba](https://airlinecodes.info/DI)
DJ,PLB,[Polynesian Blue](https://airlinecodes.info/DJ)
DJ,PBN,[Pacific Blue](https://airlinecodes.info/DJ)
DK,VKG,[Thomas Cook Airlines Scandinavia](https://airlinecodes.info/DK)
DL,DAL,[Delta Air Lines](https://airlinecodes.info/DL)
DP,FCA,[First Choice Airways](https://airlinecodes.info/DP)
DR,BIE,[Air Méditerranée](https://airlinecodes.info/DR)
DS,EZS,[easyJet Switzerland](https://airlinecodes.info/DS)
DT,DTA,[TAAG Angola Airlines](https://airlinecodes.info/DT)
DU,NLH,[Norwegian Long Haul](https://airlinecodes.info/DU)
DV,ACK,[Nantucket Airlines](https://airlinecodes.info/DV)
DW,UCR,[Aero-Charter Ukraine](https://airlinecodes.info/DW)
DX,DTR,[DAT Danish Air Transport](https://airlinecodes.info/DX)
DY,NAX,[Norwegian Air Shuttle](https://airlinecodes.info/DY)
E0,ESS,[Eos Airlines](https://airlinecodes.info/E0)
E2,KMP,[Kampuchea Airlines](https://airlinecodes.info/E2)
E2,GRN,[Rio Grande Air](https://airlinecodes.info/E2)
E3,DMO,[Domodedovo Airlines](https://airlinecodes.info/E3)
